student_id,attendance,assignment_score,exam_score,final_grade,result
275,66,42,66,C,PASS
276,59,53,51,D,PASS
277,55,41,61,C,PASS
278,54,44,99,A,PASS
279,86,62,41,D,FAIL
280,98,52,44,D,FAIL
281,85,76,53,D,PASS
282,78,76,42,D,FAIL
283,80,74,87,B,PASS
284,55,60,71,C,PASS
285,93,70,40,D,FAIL
286,97,69,88,B,PASS
287,86,82,40,D,FAIL
288,73,43,49,D,PASS
289,84,99,99,A,PASS
290,78,53,72,C,PASS
291,92,94,72,C,PASS
292,59,49,90,A,PASS
293,83,90,62,C,PASS
294,63,53,58,D,PASS
295,68,66,55,D,PASS
296,56,98,61,C,PASS
297,82,92,86,B,PASS
298,91,92,88,B,PASS
299,64,88,63,C,PASS
300,93,57,48,D,PASS
301,75,55,60,C,PASS
302,74,43,44,D,FAIL
303,54,49,66,C,PASS
304,86,78,44,D,FAIL
305,82,76,71,C,PASS
306,54,80,79,B,PASS
307,50,79,53,D,PASS
308,98,74,69,C,PASS
309,98,56,74,C,PASS
310,51,56,96,A,PASS
311,97,56,98,A,PASS
312,54,54,48,D,PASS
313,52,70,56,D,PASS
314,73,53,90,A,PASS
315,92,61,95,A,PASS
316,88,48,44,D,FAIL
317,71,59,86,B,PASS
318,83,65,55,D,PASS
319,60,49,54,D,PASS
320,55,67,69,C,PASS
321,90,56,61,C,PASS
322,87,75,94,A,PASS
323,69,80,72,C,PASS
324,50,52,99,A,PASS
325,50,49,92,A,PASS
326,87,76,55,D,PASS
327,97,63,90,A,PASS
328,52,70,67,C,PASS
329,66,51,47,D,PASS
330,75,61,78,B,PASS
331,80,58,88,B,PASS
332,53,75,78,B,PASS
333,50,73,47,D,PASS
334,97,79,67,C,PASS
335,58,76,58,D,PASS
336,61,87,69,C,PASS
337,57,54,54,D,PASS
338,90,87,78,B,PASS
339,63,69,44,D,FAIL
340,95,48,64,C,PASS
341,80,52,72,C,PASS
342,74,50,63,C,PASS
343,87,66,97,A,PASS
344,54,59,47,D,PASS
345,79,89,71,C,PASS
346,54,84,82,B,PASS
347,89,42,59,D,PASS
348,65,84,64,C,PASS
349,64,80,81,B,PASS
350,87,59,98,A,PASS
351,83,45,51,D,PASS
352,88,79,77,B,PASS
353,74,73,94,A,PASS
354,73,83,70,C,PASS
355,73,61,91,A,PASS
356,85,52,68,C,PASS
357,99,61,69,C,PASS
358,73,43,95,A,PASS
359,72,97,42,D,FAIL
360,92,57,89,B,PASS
361,58,90,87,B,PASS
362,92,55,95,A,PASS
363,79,46,82,B,PASS
364,70,76,85,B,PASS
365,51,84,51,D,PASS
366,75,93,89,B,PASS
367,67,41,69,C,PASS
368,99,41,58,D,PASS
369,54,69,67,C,PASS
370,74,68,89,B,PASS
371,85,78,52,D,PASS
372,87,42,83,B,PASS
373,72,87,60,C,PASS
374,90,59,40,D,FAIL
375,61,48,40,D,FAIL
376,90,46,58,D,PASS
377,95,73,77,B,PASS
378,97,69,58,D,PASS
379,55,99,67,C,PASS
380,62,61,49,D,PASS
381,76,85,86,B,PASS
382,91,56,53,D,PASS
383,84,57,74,C,PASS
384,58,89,76,B,PASS
385,59,71,71,C,PASS
386,58,64,69,C,PASS
387,97,61,59,D,PASS
388,99,60,87,B,PASS
389,82,78,93,A,PASS
390,74,89,47,D,PASS
391,66,81,66,C,PASS
392,69,40,96,A,PASS
393,70,81,50,D,PASS
394,56,53,42,D,FAIL
395,96,95,53,D,PASS
396,59,49,87,B,PASS
397,86,48,79,B,PASS
398,62,96,68,C,PASS
399,73,66,91,A,PASS
400,86,62,66,C,PASS
401,72,70,52,D,PASS
402,96,73,83,B,PASS
403,72,47,43,D,FAIL
404,84,49,52,D,PASS
405,59,70,89,B,PASS
406,98,73,95,A,PASS
407,99,98,99,A,PASS
408,68,50,76,B,PASS
409,71,66,64,C,PASS
410,52,92,85,B,PASS
411,58,91,44,D,FAIL
412,74,49,81,B,PASS
413,90,71,69,C,PASS
414,68,42,52,D,PASS
415,74,52,85,B,PASS
416,71,55,67,C,PASS
417,87,97,46,D,PASS
418,74,99,53,D,PASS
419,67,99,53,D,PASS
420,90,86,84,B,PASS
421,51,99,56,D,PASS
422,77,41,66,C,PASS
423,85,67,59,D,PASS
424,64,41,69,C,PASS
425,62,50,43,D,FAIL
426,93,45,99,A,PASS
427,60,45,95,A,PASS
428,69,97,49,D,PASS
429,91,73,53,D,PASS
430,56,63,79,B,PASS
431,79,65,45,D,PASS
432,85,67,65,C,PASS
433,67,69,87,B,PASS
434,62,64,54,D,PASS
435,76,75,84,B,PASS
436,76,58,77,B,PASS
437,76,62,60,C,PASS
438,97,53,68,C,PASS
439,70,64,55,D,PASS
440,62,49,67,C,PASS
441,73,44,44,D,FAIL
442,60,54,86,B,PASS
443,70,61,48,D,PASS
444,87,81,43,D,FAIL
445,79,90,63,C,PASS
446,94,43,58,D,PASS
447,85,78,67,C,PASS
448,99,65,76,B,PASS
449,67,53,60,C,PASS
450,61,41,70,C,PASS
451,54,52,48,D,PASS
452,55,44,53,D,PASS
453,76,52,89,B,PASS
454,62,70,46,D,PASS
455,69,87,98,A,PASS
456,74,61,96,A,PASS
457,57,89,83,B,PASS
458,93,40,83,B,PASS
459,78,47,88,B,PASS
460,79,55,66,C,PASS
461,74,61,71,C,PASS
462,51,99,88,B,PASS
463,73,57,68,C,PASS
464,51,86,62,C,PASS
465,91,46,90,A,PASS
466,52,42,42,D,FAIL
467,68,59,72,C,PASS
468,87,97,87,B,PASS
469,99,51,57,D,PASS
470,52,80,75,B,PASS
471,79,69,99,A,PASS
472,67,61,75,B,PASS
473,61,54,44,D,FAIL
474,62,97,63,C,PASS
475,79,82,74,C,PASS
476,55,71,46,D,PASS
477,76,42,59,D,PASS
478,80,90,73,C,PASS
479,92,86,61,C,PASS
480,91,73,82,B,PASS
481,82,48,61,C,PASS
482,56,75,83,B,PASS
483,53,68,94,A,PASS
484,75,78,88,B,PASS
485,93,75,70,C,PASS
486,70,40,75,B,PASS
487,61,77,47,D,PASS
488,92,86,99,A,PASS
489,54,54,65,C,PASS
490,79,81,69,C,PASS
491,67,75,47,D,PASS
492,97,55,73,C,PASS
493,74,90,82,B,PASS
494,74,95,46,D,PASS
495,61,59,65,C,PASS
496,68,69,66,C,PASS
497,68,69,45,D,PASS
498,97,61,92,A,PASS
499,63,66,52,D,PASS
500,92,58,76,B,PASS
501,90,64,75,B,PASS
502,78,81,77,B,PASS
503,91,82,93,A,PASS
504,64,49,70,C,PASS
505,91,86,75,B,PASS
506,55,93,76,B,PASS
507,98,41,63,C,PASS
508,74,54,56,D,PASS
509,52,47,49,D,PASS
510,92,84,72,C,PASS
511,80,67,91,A,PASS
512,70,69,66,C,PASS
513,57,93,55,D,PASS
514,83,72,79,B,PASS
515,57,94,44,D,FAIL
516,89,63,96,A,PASS
517,58,52,98,A,PASS
518,81,62,41,D,FAIL
519,95,76,92,A,PASS
520,75,59,62,C,PASS
521,80,66,59,D,PASS
522,62,41,56,D,PASS
523,89,46,67,C,PASS
524,93,95,86,B,PASS
525,67,77,85,B,PASS
526,64,69,96,A,PASS
527,92,69,59,D,PASS
528,76,49,51,D,PASS
529,80,75,61,C,PASS
530,60,94,60,C,PASS
531,78,64,88,B,PASS
532,58,56,96,A,PASS
533,71,98,71,C,PASS
534,88,51,80,B,PASS
535,54,67,94,A,PASS
536,71,87,80,B,PASS
537,52,98,85,B,PASS
538,74,76,54,D,PASS
539,56,88,45,D,PASS
540,83,40,54,D,PASS
541,91,47,78,B,PASS
542,72,56,94,A,PASS
543,73,54,96,A,PASS
544,61,77,83,B,PASS
545,76,61,41,D,FAIL
546,67,52,56,D,PASS
547,63,84,93,A,PASS
548,55,52,65,C,PASS
549,99,72,77,B,PASS
550,99,57,52,D,PASS
551,82,97,43,D,FAIL
552,95,43,43,D,FAIL
553,50,95,64,C,PASS
554,83,51,99,A,PASS
555,91,69,92,A,PASS
556,84,99,79,B,PASS
557,74,96,54,D,PASS
558,88,40,71,C,PASS
559,51,78,65,C,PASS
560,66,53,52,D,PASS
561,66,57,62,C,PASS
562,89,66,97,A,PASS
563,85,55,98,A,PASS
564,99,46,65,C,PASS
565,53,49,82,B,PASS
566,50,43,98,A,PASS
567,82,74,52,D,PASS
568,90,99,84,B,PASS
569,59,84,46,D,PASS
570,72,84,72,C,PASS
571,68,71,87,B,PASS
572,54,88,72,C,PASS
573,86,83,64,C,PASS
574,80,69,43,D,FAIL
575,73,50,60,C,PASS
576,73,45,52,D,PASS
577,79,60,80,B,PASS
578,96,85,94,A,PASS
579,62,75,68,C,PASS
580,95,61,97,A,PASS
581,79,42,51,D,PASS
582,76,91,69,C,PASS
583,57,88,85,B,PASS
584,52,91,85,B,PASS
585,80,70,62,C,PASS
586,92,80,84,B,PASS
587,65,57,59,D,PASS
588,82,61,69,C,PASS
589,74,70,49,D,PASS
590,61,78,47,D,PASS
591,75,69,57,D,PASS
592,59,81,96,A,PASS
593,62,44,99,A,PASS
594,66,77,49,D,PASS
595,83,93,69,C,PASS
596,87,70,76,B,PASS
597,97,85,87,B,PASS
598,69,62,98,A,PASS
599,50,85,91,A,PASS
600,58,98,45,D,PASS
601,59,54,46,D,PASS
602,64,69,97,A,PASS
603,64,53,68,C,PASS
604,96,61,76,B,PASS
605,63,51,64,C,PASS
606,98,82,93,A,PASS
607,83,99,46,D,PASS
608,61,50,76,B,PASS
609,88,70,97,A,PASS
610,88,51,51,D,PASS
611,99,44,56,D,PASS
612,80,93,40,D,FAIL
613,59,78,41,D,FAIL
614,77,47,69,C,PASS
615,75,68,96,A,PASS
616,76,66,40,D,FAIL
617,58,43,69,C,PASS
618,95,99,72,C,PASS
620,83,53,92,A,PASS
621,54,44,92,A,PASS
622,65,80,78,B,PASS
623,81,85,49,D,PASS
624,84,99,60,C,PASS
625,86,58,49,D,PASS
626,93,95,78,B,PASS
627,53,62,63,C,PASS
628,77,62,53,D,PASS
629,89,88,51,D,PASS
630,53,56,59,D,PASS
631,60,47,49,D,PASS
632,71,59,84,B,PASS
633,96,82,63,C,PASS
634,93,95,87,B,PASS
635,66,57,59,D,PASS
636,96,98,42,D,FAIL
637,98,85,86,B,PASS
638,90,63,87,B,PASS
639,69,54,54,D,PASS
640,83,86,43,D,FAIL
641,84,93,55,D,PASS
642,75,99,82,B,PASS
643,96,98,94,A,PASS
644,57,60,65,C,PASS
645,68,93,40,D,FAIL
646,92,79,58,D,PASS
647,62,80,93,A,PASS
648,85,57,62,C,PASS
649,61,96,60,C,PASS
650,83,51,75,B,PASS
651,52,87,78,B,PASS
652,90,81,71,C,PASS
653,88,63,63,C,PASS
654,82,50,69,C,PASS
655,77,99,49,D,PASS
656,58,92,62,C,PASS
657,78,84,51,D,PASS
658,58,46,85,B,PASS
659,55,43,91,A,PASS
660,68,64,78,B,PASS
661,77,75,64,C,PASS
662,89,83,80,B,PASS
663,56,70,56,D,PASS
664,87,67,45,D,PASS
665,66,46,72,C,PASS
666,81,95,87,B,PASS
667,71,80,54,D,PASS
668,62,92,43,D,FAIL
669,74,42,73,C,PASS
670,76,76,59,D,PASS
671,65,52,44,D,FAIL
672,97,98,99,A,PASS
673,85,60,97,A,PASS
674,77,64,43,D,FAIL
675,50,90,64,C,PASS
676,56,64,50,D,PASS
677,76,46,96,A,PASS
678,57,43,49,D,PASS
679,63,96,40,D,FAIL
680,78,61,58,D,PASS
681,69,62,57,D,PASS
682,87,90,91,A,PASS
683,72,82,78,B,PASS
684,55,87,54,D,PASS
685,52,68,86,B,PASS
686,82,72,80,B,PASS
687,74,59,74,C,PASS
688,83,80,74,C,PASS
689,74,89,55,D,PASS
690,85,77,82,B,PASS
691,93,82,45,D,PASS
692,61,89,44,D,FAIL
693,84,55,84,B,PASS
694,77,42,46,D,PASS
695,93,63,60,C,PASS
696,79,71,49,D,PASS
697,76,77,87,B,PASS
698,97,95,84,B,PASS
699,70,40,57,D,PASS
700,62,60,59,D,PASS
701,53,91,84,B,PASS
702,67,60,60,C,PASS
703,86,91,99,A,PASS
704,76,57,83,B,PASS
705,72,51,47,D,PASS
706,55,71,67,C,PASS
707,74,59,91,A,PASS
708,59,75,62,C,PASS
709,88,89,75,B,PASS
710,62,45,85,B,PASS
711,77,43,91,A,PASS
712,98,42,96,A,PASS
713,51,68,97,A,PASS
714,52,59,78,B,PASS
715,80,72,48,D,PASS
716,89,87,42,D,FAIL
717,94,51,55,D,PASS
718,97,54,50,D,PASS
719,99,48,76,B,PASS
720,96,86,44,D,FAIL
721,92,77,41,D,FAIL
722,84,54,54,D,PASS
723,55,83,59,D,PASS
724,77,73,60,C,PASS
725,61,44,67,C,PASS
726,73,55,66,C,PASS
727,68,42,98,A,PASS
728,81,96,41,D,FAIL
729,57,97,46,D,PASS
730,77,56,79,B,PASS
731,69,81,63,C,PASS
732,71,85,55,D,PASS
733,87,95,41,D,FAIL
734,90,61,55,D,PASS
735,96,66,86,B,PASS
736,62,43,54,D,PASS
737,61,69,74,C,PASS
738,58,91,59,D,PASS
739,72,41,81,B,PASS
740,70,94,75,B,PASS
741,69,41,70,C,PASS
742,90,69,57,D,PASS
743,51,56,48,D,PASS
744,69,61,97,A,PASS
745,76,65,64,C,PASS
746,51,84,97,A,PASS
747,72,55,76,B,PASS
748,50,66,97,A,PASS
749,53,58,60,C,PASS
750,54,75,47,D,PASS
751,66,53,75,B,PASS
752,60,94,52,D,PASS
753,56,98,89,B,PASS
754,84,90,62,C,PASS
755,76,71,74,C,PASS
756,79,47,81,B,PASS
757,70,93,85,B,PASS
758,91,92,60,C,PASS
759,97,76,83,B,PASS
760,72,92,89,B,PASS
761,94,44,84,B,PASS
762,95,59,64,C,PASS
763,83,99,48,D,PASS
764,50,69,41,D,FAIL
765,54,88,50,D,PASS
766,76,52,65,C,PASS
767,93,45,90,A,PASS
768,52,45,65,C,PASS
769,70,82,92,A,PASS
770,91,80,99,A,PASS
771,57,53,62,C,PASS
772,71,94,40,D,FAIL
773,70,67,70,C,PASS
774,97,82,45,D,PASS
775,84,86,76,B,PASS
776,56,59,87,B,PASS
777,97,50,49,D,PASS
778,74,70,69,C,PASS
779,76,75,42,D,FAIL
780,95,47,94,A,PASS
781,96,71,85,B,PASS
782,57,46,93,A,PASS
783,94,54,48,D,PASS
784,54,53,63,C,PASS
785,60,47,41,D,FAIL
786,83,40,42,D,FAIL
787,73,59,87,B,PASS
788,74,52,52,D,PASS
789,59,99,98,A,PASS
790,56,57,44,D,FAIL
791,79,41,63,C,PASS
792,74,83,46,D,PASS
793,50,43,83,B,PASS
794,98,69,64,C,PASS
795,78,59,88,B,PASS
796,86,77,98,A,PASS
797,56,91,51,D,PASS
798,56,42,87,B,PASS
799,84,86,53,D,PASS
800,75,82,69,C,PASS
801,56,43,40,D,FAIL
802,98,51,68,C,PASS
803,70,62,96,A,PASS
804,59,49,52,D,PASS
805,83,99,78,B,PASS
806,94,83,94,A,PASS
807,61,87,93,A,PASS
808,99,64,86,B,PASS
809,63,43,87,B,PASS
810,59,80,95,A,PASS
811,51,75,60,C,PASS
812,70,88,85,B,PASS
813,86,42,78,B,PASS
814,76,81,65,C,PASS
815,66,94,59,D,PASS
816,55,79,42,D,FAIL
817,77,69,44,D,FAIL
818,98,42,60,C,PASS
819,53,69,78,B,PASS
820,69,73,95,A,PASS
821,65,65,72,C,PASS
822,71,46,66,C,PASS
823,85,99,99,A,PASS
824,85,80,81,B,PASS
825,79,42,50,D,PASS
826,66,66,92,A,PASS
827,64,67,64,C,PASS
828,97,69,89,B,PASS
829,86,85,52,D,PASS
830,59,50,95,A,PASS
831,66,99,94,A,PASS
832,62,86,81,B,PASS
833,53,43,99,A,PASS
834,72,84,80,B,PASS
835,52,92,46,D,PASS
836,93,89,59,D,PASS
837,50,91,74,C,PASS
838,74,48,53,D,PASS
839,66,67,46,D,PASS
840,56,58,74,C,PASS
841,91,45,54,D,PASS
842,97,53,85,B,PASS
843,89,78,64,C,PASS
844,66,67,97,A,PASS
845,89,75,66,C,PASS
846,54,89,78,B,PASS
847,70,78,54,D,PASS
848,68,87,90,A,PASS
849,72,46,42,D,FAIL
850,79,86,66,C,PASS
851,74,49,64,C,PASS
852,64,53,41,D,FAIL
853,88,65,84,B,PASS
854,71,74,95,A,PASS
855,73,54,55,D,PASS
856,62,74,41,D,FAIL
857,58,41,66,C,PASS
858,63,68,75,B,PASS
859,67,69,65,C,PASS
860,84,55,69,C,PASS
861,90,47,90,A,PASS
862,95,76,69,C,PASS
863,83,61,42,D,FAIL
864,50,55,97,A,PASS
865,53,80,44,D,FAIL
866,57,80,70,C,PASS
867,94,46,53,D,PASS
868,76,50,76,B,PASS
869,69,59,99,A,PASS
870,61,52,56,D,PASS
871,80,42,83,B,PASS
872,92,40,61,C,PASS
873,69,84,74,C,PASS
874,78,61,55,D,PASS
875,99,44,85,B,PASS
876,78,75,60,C,PASS
877,99,50,49,D,PASS
878,75,90,65,C,PASS
879,76,74,66,C,PASS
880,61,56,94,A,PASS
881,90,76,96,A,PASS
882,51,44,75,B,PASS
883,60,58,73,C,PASS
884,87,77,62,C,PASS
885,90,93,75,B,PASS
886,52,87,98,A,PASS
887,57,96,47,D,PASS
888,97,41,64,C,PASS
889,54,69,60,C,PASS
890,53,83,86,B,PASS
891,76,69,79,B,PASS
892,50,85,43,D,FAIL
893,96,74,98,A,PASS
894,66,49,90,A,PASS
895,51,74,50,D,PASS
896,75,83,40,D,FAIL
897,65,61,73,C,PASS
898,62,78,40,D,FAIL
899,99,47,93,A,PASS
900,84,95,98,A,PASS
901,82,81,71,C,PASS
902,85,50,73,C,PASS
903,69,95,69,C,PASS
904,74,63,81,B,PASS
905,94,63,85,B,PASS
906,96,71,83,B,PASS
907,98,69,47,D,PASS
908,80,54,97,A,PASS
909,95,69,44,D,FAIL
910,72,83,96,A,PASS
911,61,46,91,A,PASS
912,89,76,81,B,PASS
913,74,58,52,D,PASS
914,67,42,78,B,PASS
915,71,44,62,C,PASS
916,74,62,53,D,PASS
917,61,78,52,D,PASS
918,82,53,95,A,PASS
919,85,76,69,C,PASS
920,64,60,41,D,FAIL
921,95,78,66,C,PASS
922,86,89,88,B,PASS
923,54,93,44,D,FAIL
924,86,80,63,C,PASS
925,84,72,94,A,PASS
926,86,79,43,D,FAIL
927,83,66,66,C,PASS
928,79,96,88,B,PASS
929,90,46,44,D,FAIL
930,53,99,70,C,PASS
931,92,76,65,C,PASS
932,97,85,57,D,PASS
933,81,42,61,C,PASS
934,88,80,44,D,FAIL
935,61,71,76,B,PASS
936,78,53,94,A,PASS
937,94,71,97,A,PASS
938,96,84,55,D,PASS
939,95,75,42,D,FAIL
940,58,43,43,D,FAIL
941,87,78,61,C,PASS
942,58,61,86,B,PASS
943,58,64,92,A,PASS
944,87,59,82,B,PASS
945,64,55,56,D,PASS
946,92,83,92,A,PASS
947,59,60,90,A,PASS
948,75,54,69,C,PASS
949,93,62,79,B,PASS
950,87,43,69,C,PASS
951,99,65,52,D,PASS
952,94,58,88,B,PASS
953,65,60,73,C,PASS
954,54,50,56,D,PASS
955,86,64,49,D,PASS
956,94,85,84,B,PASS
957,68,63,87,B,PASS
958,70,74,58,D,PASS
959,81,99,76,B,PASS
960,90,63,99,A,PASS
961,76,83,54,D,PASS
962,91,43,66,C,PASS
963,99,69,67,C,PASS
964,61,81,92,A,PASS
965,58,51,86,B,PASS
966,71,58,58,D,PASS
967,99,41,96,A,PASS
968,59,75,57,D,PASS
969,56,57,75,B,PASS
970,86,58,74,C,PASS
971,81,66,68,C,PASS
972,78,82,54,D,PASS
973,77,71,49,D,PASS
974,88,73,68,C,PASS
975,76,81,72,C,PASS
976,58,65,90,A,PASS
977,72,64,50,D,PASS
978,73,63,88,B,PASS
979,74,48,54,D,PASS
980,83,42,62,C,PASS
981,77,62,76,B,PASS
982,71,56,88,B,PASS
983,82,54,59,D,PASS
984,65,42,69,C,PASS
985,50,90,91,A,PASS
986,85,54,61,C,PASS
987,66,57,74,C,PASS
988,66,97,95,A,PASS
989,89,70,66,C,PASS
990,85,85,57,D,PASS
